Month,Day,Year,SurveyDay,Trapline,Row,TrapNum,Species,Mass,Sex,RepCon,TagNum
5,18,2017,1,1,A,1,CLEAR,.,.,.,.
5,18,2017,1,1,A,2,CLEAR,.,.,.,.
5,18,2017,1,1,A,3,CLEAR,.,.,.,.
5,18,2017,1,1,A,4,CLEAR,.,.,.,.
5,18,2017,1,1,A,5,CLEAR,.,.,.,.
5,18,2017,1,1,A,6,ST,.,.,.,.
5,18,2017,1,1,B,1,CLEAR,.,.,.,.
5,18,2017,1,1,B,2,CLEAR,.,.,.,.
5,18,2017,1,1,B,3,CLEAR,.,.,.,.
5,18,2017,1,1,B,4,CLEAR,.,.,.,.
5,18,2017,1,1,B,5,CLEAR,.,.,.,.
5,18,2017,1,1,B,6,CLEAR,.,.,.,.
5,18,2017,1,1,C,1,CLEAR,.,.,.,.
5,18,2017,1,1,C,2,CLEAR,.,.,.,.
5,18,2017,1,1,C,3,CLEAR,.,.,.,.
5,18,2017,1,1,C,4,CLEAR,.,.,.,.
5,18,2017,1,1,C,5,CLEAR,.,.,.,.
5,18,2017,1,1,C,6,CLEAR,.,.,.,.
5,19,2017,2,1,A,1,CLEAR,.,.,.,.
5,19,2017,2,1,A,2,CLEAR,.,.,.,.
5,19,2017,2,1,A,3,CLEAR,.,.,.,.
5,19,2017,2,1,A,4,CLEAR,.,.,.,.
5,19,2017,2,1,A,5,CLEAR,.,.,.,.
5,19,2017,2,1,A,6,CLEAR,.,.,.,.
5,19,2017,2,1,B,1,CLEAR,.,.,.,.
5,19,2017,2,1,B,2,MV,36.6,M,ADULT,2
5,19,2017,2,1,B,3,CLEAR,.,.,.,.
5,19,2017,2,1,B,4,CLEAR,.,.,.,.
5,19,2017,2,1,B,5,CLEAR,.,.,.,.
5,19,2017,2,1,B,6,CLEAR,.,.,.,.
5,19,2017,2,1,C,1,CLEAR,.,.,.,.
5,19,2017,2,1,C,2,CLEAR,.,.,.,.
5,19,2017,2,1,C,3,CLEAR,.,.,.,.
5,19,2017,2,1,C,4,CLEAR,.,.,.,.
5,19,2017,2,1,C,5,CLEAR,.,.,.,.
5,19,2017,2,1,C,6,CLEAR,.,.,.,.
5,20,2017,3,1,A,1,CLEAR,.,.,.,.
5,20,2017,3,1,A,2,MV,30.05,M,ADULT,5
5,20,2017,3,1,A,3,CLEAR,.,.,.,.
5,20,2017,3,1,A,4,CLEAR,.,.,.,.
5,20,2017,3,1,A,5,CLEAR,.,.,.,.
5,20,2017,3,1,A,6,CLEAR,.,.,.,.
5,20,2017,3,1,B,1,CLEAR,.,.,.,.
5,20,2017,3,1,B,2,CLEAR,.,.,.,.
5,20,2017,3,1,B,3,CLEAR,.,.,.,.
5,20,2017,3,1,B,4,CLEAR,.,.,.,.
5,20,2017,3,1,B,5,CLEAR,.,.,.,.
5,20,2017,3,1,B,6,CLEAR,.,.,.,.
5,20,2017,3,1,C,1,CLEAR,.,.,.,.
5,20,2017,3,1,C,2,CLEAR,.,.,.,.
5,20,2017,3,1,C,3,CLEAR,.,.,.,.
5,20,2017,3,1,C,4,CLEAR,.,.,.,.
5,20,2017,3,1,C,5,CLEAR,.,.,.,.
5,20,2017,3,1,C,6,CLEAR,.,.,.,.
5,18,2017,1,2,A,1,CLEAR,.,.,.,.
5,18,2017,1,2,A,2,CLEAR,.,.,.,.
5,18,2017,1,2,A,3,CLEAR,.,.,.,.
5,18,2017,1,2,A,4,CLEAR,.,.,.,.
5,18,2017,1,2,A,5,CLEAR,.,.,.,.
5,18,2017,1,2,A,6,CLEAR,.,.,.,.
5,18,2017,1,2,B,1,CLEAR,.,.,.,.
5,18,2017,1,2,B,2,CLEAR,.,.,.,.
5,18,2017,1,2,B,3,CLEAR,.,.,.,.
5,18,2017,1,2,B,4,CLEAR,.,.,.,.
5,18,2017,1,2,B,5,CLEAR,.,.,.,.
5,18,2017,1,2,B,6,CLEAR,.,.,.,.
5,18,2017,1,2,C,1,CLEAR,.,.,.,.
5,18,2017,1,2,C,2,CLEAR,.,.,.,.
5,18,2017,1,2,C,3,CLEAR,.,.,.,.
5,18,2017,1,2,C,4,CLEAR,.,.,.,.
5,18,2017,1,2,C,5,CLEAR,.,.,.,.
5,18,2017,1,2,C,6,CLEAR,.,.,.,.
5,19,2017,2,2,A,1,CLEAR,.,.,.,.
5,19,2017,2,2,A,2,CLEAR,.,.,.,.
5,19,2017,2,2,A,3,CLEAR,.,.,.,.
5,19,2017,2,2,A,4,CLEAR,.,.,.,.
5,19,2017,2,2,A,5,CLEAR,.,.,.,.
5,19,2017,2,2,A,6,CLEAR,.,.,.,.
5,19,2017,2,2,B,1,CLEAR,.,.,.,.
5,19,2017,2,2,B,2,CLEAR,.,.,.,.
5,19,2017,2,2,B,3,CLEAR,.,.,.,.
5,19,2017,2,2,B,4,CLEAR,.,.,.,.
5,19,2017,2,2,B,5,CLEAR,.,.,.,.
5,19,2017,2,2,B,6,CLEAR,.,.,.,.
5,19,2017,2,2,C,1,CLEAR,.,.,.,.
5,19,2017,2,2,C,2,CLEAR,.,.,.,.
5,19,2017,2,2,C,3,CLEAR,.,.,.,.
5,19,2017,2,2,C,4,ST,.,.,.,.
5,19,2017,2,2,C,5,CLEAR,.,.,.,.
5,19,2017,2,2,C,6,CLEAR,.,.,.,.
5,20,2017,3,2,A,1,CLEAR,.,.,.,.
5,20,2017,3,2,A,2,CLEAR,.,.,.,.
5,20,2017,3,2,A,3,CLEAR,.,.,.,.
5,20,2017,3,2,A,4,CLEAR,.,.,.,.
5,20,2017,3,2,A,5,CLEAR,.,.,.,.
5,20,2017,3,2,A,6,CLEAR,.,.,.,.
5,20,2017,3,2,B,1,CLEAR,.,.,.,.
5,20,2017,3,2,B,2,CLEAR,.,.,.,.
5,20,2017,3,2,B,3,CLEAR,.,.,.,.
5,20,2017,3,2,B,4,CLEAR,.,.,.,.
5,20,2017,3,2,B,5,CLEAR,.,.,.,.
5,20,2017,3,2,B,6,CLEAR,.,.,.,.
5,20,2017,3,2,C,1,CLEAR,.,.,.,.
5,20,2017,3,2,C,2,CLEAR,.,.,.,.
5,20,2017,3,2,C,3,CLEAR,.,.,.,.
5,20,2017,3,2,C,4,CLEAR,.,.,.,.
5,20,2017,3,2,C,5,CLEAR,.,.,.,.
5,20,2017,3,2,C,6,CLEAR,.,.,.,.
5,18,2017,1,3,A,1,CLEAR,.,.,.,.
5,18,2017,1,3,A,2,CLEAR,.,.,.,.
5,18,2017,1,3,A,3,CLEAR,.,.,.,.
5,18,2017,1,3,A,4,CLEAR,.,.,.,.
5,18,2017,1,3,A,5,CLEAR,.,.,.,.
5,18,2017,1,3,A,6,CLEAR,.,.,.,.
5,18,2017,1,3,B,1,CLEAR,.,.,.,.
5,18,2017,1,3,B,2,CLEAR,.,.,.,.
5,18,2017,1,3,B,3,CLEAR,.,.,.,.
5,18,2017,1,3,B,4,CLEAR,.,.,.,.
5,18,2017,1,3,B,5,CLEAR,.,.,.,.
5,18,2017,1,3,B,6,CLEAR,.,.,.,.
5,18,2017,1,3,C,1,CLEAR,.,.,.,.
5,18,2017,1,3,C,2,CLEAR,.,.,.,.
5,18,2017,1,3,C,3,CLEAR,.,.,.,.
5,18,2017,1,3,C,4,CLEAR,.,.,.,.
